Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
sci,7,20,"hydrogen production, 0.0523, 13, 28 ; green hydrogen, 0.0391, 11, 20 ; green hydrogen production, 0.0208, 7, 10 ; production costs, 0.0171, 3, 6 ; hydrogen price, 0.0148, 4, 7",0.4667,1.0,hydrogen production ; green hydrogen ; green hydrogen production ; production costs ; hydrogen price
sci,8,24,"energy island, 0.0358, 10, 12 ; energy system, 0.0270, 13, 30 ; renewable energy, 0.0235, 16, 28 ; sustainable energy, 0.0181, 3, 10 ; elsevier ltd, 0.0160, 13, 13",0.4694,1.0,energy island ; energy system ; renewable energy ; sustainable energy ; elsevier ltd
sci,9,15,"black start, 0.0288, 1, 4 ; diode rectifier, 0.0252, 9, 9 ; low cost, 0.0175, 3, 3 ; high voltage, 0.0160, 4, 5 ; direct current, 0.0150, 7, 11",0.2889,1.0,black start ; diode rectifier ; low cost ; high voltage ; direct current
sci,10,1,"model established, 0.1410, 1, 1 ; first time, 0.1368, 1, 1 ; 2022 elsevier ltd, 0.1298, 1, 1 ; 2022 elsevier, 0.1270, 1, 1 ; two different, 0.1206, 1, 1",1.0,1.0,model established ; first time ; 2022 elsevier ltd ; 2022 elsevier ; two different
sci,11,3,"transmission grid, 0.1346, 3, 20 ; harmonic distortion, 0.1043, 3, 10 ; 400 kv, 0.0808, 3, 8 ; harmonic voltage distortion, 0.0550, 3, 6 ; harmonic voltage, 0.0532, 3, 6",1.0,1.0,transmission grid ; harmonic distortion ; 400 kv ; harmonic voltage distortion ; harmonic voltage
sci,12,4,"multi vector, 0.1102, 0, 0 ; energy systems, 0.0730, 4, 7 ; level optimization, 0.0571, 1, 2 ; sector coupling, 0.0379, 2, 2 ; 2023 author, 0.0374, 1, 1",0.4,1.0,multi vector ; energy systems ; level optimization ; sector coupling ; 2023 author
sci,13,1,"low energy, 0.4004, 1, 1 ; high energy, 0.2542, 0, 0 ; island energy, 0.1240, 1, 1 ; energy island, 0.1188, 1, 2 ; results show, 0.0797, 1, 1",0.7333,1.0,low energy ; high energy ; island energy ; energy island ; results show
sci,14,1,"al 111, 0.2579, 0, 0 ; cu al, 0.2579, 0, 0 ; cu al 111, 0.2579, 0, 0 ; cu 111, 0.2006, 0, 0 ; elsevier ltd, 0.0100, 1, 1",0.0667,0.0,al 111 ; cu al ; cu al 111 ; cu 111 ; elsevier ltd
sci,15,15,"2017 ieee, 0.0417, 1, 1 ; distributed generation, 0.0291, 3, 3 ; electrical power, 0.0253, 1, 4 ; distribution network, 0.0224, 3, 7 ; management system, 0.0156, 4, 5",0.1333,0.0,2017 ieee ; distributed generation ; electrical power ; distribution network ; management system
sci,16,4,"kriegers flak, 0.0889, 4, 9 ; kf cgs, 0.0587, 2, 6 ; power markets, 0.0355, 1, 3 ; voltage reactive power, 0.0330, 2, 4 ; voltage reactive, 0.0330, 2, 4",0.6167,1.0,kriegers flak ; kf cgs ; power markets ; voltage reactive power ; voltage reactive
sci,17,20,"renewable energy, 0.0286, 14, 26 ; renewable energy sources, 0.0180, 7, 7 ; energy sources, 0.0167, 8, 8 ; planning model, 0.0163, 1, 1 ; economic benefits, 0.0154, 1, 1",0.4167,1.0,renewable energy ; renewable energy sources ; energy sources ; planning model ; economic benefits
sci,18,5,"pilot sites, 0.0799, 2, 7 ; land project, 0.0615, 5, 5 ; energy production consumption, 0.0389, 4, 4 ; production consumption, 0.0377, 4, 4 ; research publishing singapore, 0.0376, 0, 0",0.6667,1.0,pilot sites ; land project ; energy production consumption ; production consumption ; research publishing singapore
sci,19,15,"impedance based, 0.0173, 2, 3 ; mtdc grid, 0.0144, 1, 1 ; wind turbine, 0.0144, 7, 12 ; time domain, 0.0128, 2, 3 ; paper focuses, 0.0121, 2, 2",0.1822,0.0,impedance based ; mtdc grid ; wind turbine ; time domain ; paper focuses
sci,20,2,"systems infrastructure, 0.1397, 2, 4 ; smart grid, 0.1190, 2, 4 ; organizers published research, 0.0649, 0, 0 ; organizers published, 0.0649, 0, 0 ; research publishing singapore, 0.0630, 0, 0",0.6,1.0,systems infrastructure ; smart grid ; organizers published research ; organizers published ; research publishing singapore
sci,21,11,"energy islands, 0.0716, 6, 8 ; energy community, 0.0500, 1, 4 ; fossil fuel, 0.0416, 1, 1 ; energy communities, 0.0391, 3, 8 ; sustainable energy, 0.0385, 3, 3",0.2788,1.0,energy islands ; energy community ; fossil fuel ; energy communities ; sustainable energy
sci,22,3,"renewable energies, 0.1148, 1, 2 ; power plant, 0.1133, 1, 5 ; energy island, 0.0579, 3, 3 ; renewable sources, 0.0574, 1, 1 ; low voltage, 0.0549, 0, 0",0.4444,1.0,renewable energies ; power plant ; energy island ; renewable sources ; low voltage
