Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
sci,1,1,-0.5393851,0.6939133,"offshore wind, 0.0200, 24, 163 ; european commission, 0.0135, 6, 18 ; gw offshore, 0.0113, 11, 25 ; oil gas, 0.0107, 2, 7 ; danish energy, 0.0100, 13, 34",0.4974,1.0,offshore wind ; european commission ; gw offshore ; oil gas ; danish energy
sci,30,1,-0.7806325,-0.5840467,"energy conversion, 0.0689, 1, 1 ; danish energy agency, 0.0473, 6, 19 ; energy agency, 0.0469, 6, 19 ; danish energy, 0.0444, 6, 19 ; wind energy, 0.0350, 1, 1",0.4444,1.0,energy conversion ; danish energy agency ; energy agency ; danish energy ; wind energy
sci,38,10,-1.885772,1.2112154,"transmission grid, 0.1258, 4, 21 ; five years, 0.0844, 1, 2 ; 400 kv, 0.0556, 3, 8 ; wave energy, 0.0500, 1, 1 ; transition energy, 0.0467, 1, 1",0.24,1.0,transmission grid ; five years ; 400 kv ; wave energy ; transition energy
sci,39,16,-3.1184154,1.4363376,"simulation results, 0.0424, 8, 8 ; ac dc, 0.0340, 2, 3 ; vsc hvdc, 0.0331, 0, 0 ; offshore grid, 0.0305, 12, 18 ; grid forming, 0.0296, 1, 1",0.3042,1.0,simulation results ; ac dc ; vsc hvdc ; offshore grid ; grid forming
sci,40,1,-0.25883925,-0.50936997,"energy island, 0.9792, 1, 1",1.0,1.0,energy island
sci,41,16,-1.3089584,-0.26917216,"renewable energy, 0.0892, 11, 20 ; energy storage, 0.0742, 7, 14 ; energy energy, 0.0632, 1, 1 ; energy conversion, 0.0389, 2, 2 ; power supply, 0.0326, 3, 5",0.3875,1.0,renewable energy ; energy storage ; energy energy ; energy conversion ; power supply
sci,42,23,-0.7412978,0.506133,"hydrogen production, 0.0705, 12, 27 ; green hydrogen, 0.0658, 12, 21 ; energy system, 0.0436, 10, 21 ; potential energy, 0.0323, 1, 1 ; offshore energy, 0.0272, 6, 8",0.4232,1.0,hydrogen production ; green hydrogen ; energy system ; potential energy ; offshore energy
sci,43,24,-1.280656,1.3084942,"offshore wind, 0.0566, 16, 37 ; offshore grid, 0.0564, 15, 30 ; north sea, 0.0485, 11, 21 ; large scale, 0.0375, 4, 4 ; hvdc grid, 0.0280, 4, 7",0.5139,1.0,offshore wind ; offshore grid ; north sea ; large scale ; hvdc grid
sci,44,6,-2.8929262,0.83647674,"control strategy, 0.1194, 2, 3 ; new energy, 0.1088, 3, 3 ; reactive power, 0.0888, 3, 4 ; paper proposes, 0.0816, 3, 3 ; energy resources, 0.0565, 2, 2",0.4333,1.0,control strategy ; new energy ; reactive power ; paper proposes ; energy resources
sci,45,15,-0.7995915,-0.17756066,"energy system, 0.1234, 4, 12 ; energy storage, 0.0483, 3, 6 ; case studies, 0.0386, 3, 3 ; results show, 0.0366, 5, 5 ; energy consumption, 0.0319, 3, 3",0.24,1.0,energy system ; energy storage ; case studies ; results show ; energy consumption
