Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,25,19,"kim søgaard mikkelsen, 0.0221, 6, 16 ; kim søgaard, 0.0221, 6, 16 ; søgaard mikkelsen, 0.0221, 6, 16 ; architectural competition, 0.0217, 7, 19 ; high voltage, 0.0191, 4, 7",0.3158,1.0,kim søgaard mikkelsen ; kim søgaard ; søgaard mikkelsen ; architectural competition ; high voltage
reg,26,18,"michael jensen, 0.0198, 3, 17 ; land plant, 0.0140, 9, 24 ; submarine cable, 0.0125, 1, 10 ; søndre landevej, 0.0121, 7, 13 ; land facility, 0.0120, 11, 21",0.2926,1.0,michael jensen ; land plant ; submarine cable ; søndre landevej ; land facility
reg,27,15,"young people, 0.0138, 2, 14 ; every day, 0.0103, 4, 4 ; long term, 0.0102, 2, 2 ; bornholm companies, 0.0100, 5, 8 ; 42 000, 0.0098, 0, 0",0.1867,0.0,young people ; every day ; long term ; bornholm companies ; 42 000
reg,28,20,"climate plan, 0.0147, 1, 14 ; climate energy, 0.0127, 3, 4 ; climate energy supply, 0.0120, 1, 1 ; energy supply, 0.0111, 9, 22 ; lars aagaard, 0.0104, 5, 13",0.1433,0.0,climate plan ; climate energy ; climate energy supply ; energy supply ; lars aagaard
reg,29,7,"bornholm museum, 0.1477, 7, 34 ; finn ole, 0.0316, 1, 25 ; feasibility studies, 0.0301, 3, 6 ; jakob nørmark, 0.0284, 2, 3 ; says jacob, 0.0269, 3, 6",0.5238,1.0,bornholm museum ; finn ole ; feasibility studies ; jakob nørmark ; says jacob
reg,30,5,"bornholm population, 0.0491, 1, 2 ; nature bornholm, 0.0297, 1, 2 ; bornholm make, 0.0254, 1, 1 ; rønne harbor, 0.0245, 2, 6 ; look like, 0.0242, 1, 2",0.2267,1.0,bornholm population ; nature bornholm ; bornholm make ; rønne harbor ; look like
reg,31,20,"land plant, 0.0170, 12, 31 ; electricity prices, 0.0136, 1, 6 ; property value, 0.0098, 4, 12 ; north sea, 0.0095, 6, 15 ; bornholm electricity, 0.0084, 2, 5",0.3,1.0,land plant ; electricity prices ; property value ; north sea ; bornholm electricity
reg,32,14,"new local, 0.0186, 1, 1 ; offshore wind, 0.0178, 9, 33 ; island new, 0.0175, 0, 0 ; make bornholm, 0.0147, 4, 6 ; energy island, 0.0145, 14, 41",0.3,1.0,new local ; offshore wind ; island new ; make bornholm ; energy island
reg,33,6,"united states, 0.0877, 3, 11 ; home guard, 0.0847, 2, 20 ; baltic sea, 0.0755, 5, 42 ; critical infrastructure, 0.0616, 2, 5 ; security policy, 0.0530, 4, 15",0.5111,1.0,united states ; home guard ; baltic sea ; critical infrastructure ; security policy
reg,34,16,"land facility, 0.0178, 11, 23 ; get compensation, 0.0174, 4, 10 ; lea wermelin, 0.0170, 6, 30 ; energy parks, 0.0151, 3, 8 ; nature environment, 0.0104, 1, 1",0.4,1.0,land facility ; get compensation ; lea wermelin ; energy parks ; nature environment
reg,35,5,"baltic sea, 0.0619, 4, 23 ; consultation response, 0.0483, 4, 22 ; marine environment, 0.0437, 4, 7 ; environmental impact, 0.0378, 3, 7 ; bornholm zealand, 0.0335, 2, 5",0.7467,1.0,baltic sea ; consultation response ; marine environment ; environmental impact ; bornholm zealand
reg,36,6,"hydrogen production, 0.0417, 4, 9 ; surplus heat, 0.0414, 6, 18 ; district heating, 0.0384, 5, 19 ; klaus vesløv, 0.0332, 3, 14 ; hydrogen ammonia, 0.0268, 3, 5",0.7556,1.0,hydrogen production ; surplus heat ; district heating ; klaus vesløv ; hydrogen ammonia
reg,37,8,"energy agency, 0.0499, 6, 19 ; danish energy agency, 0.0499, 6, 19 ; danish energy, 0.0482, 6, 19 ; offshore wind farms, 0.0248, 5, 13 ; civic meeting, 0.0234, 4, 6",0.7167,1.0,energy agency ; danish energy agency ; danish energy ; offshore wind farms ; civic meeting
reg,38,13,"offshore wind, 0.0507, 12, 119 ; bornholm offshore wind, 0.0272, 3, 3 ; nuclear power, 0.0271, 4, 24 ; wind turbines, 0.0268, 11, 54 ; bornholm offshore, 0.0265, 3, 3",0.559,1.0,offshore wind ; bornholm offshore wind ; nuclear power ; wind turbines ; bornholm offshore
reg,39,29,"chresten andersen, 0.0071, 1, 6 ; niels chresten andersen, 0.0071, 1, 6 ; niels chresten, 0.0071, 1, 6 ; climate plan, 0.0067, 1, 11 ; climate minister, 0.0065, 3, 7",0.0391,0.0,chresten andersen ; niels chresten andersen ; niels chresten ; climate plan ; climate minister
reg,40,3,"fossil fuels, 0.0740, 2, 4 ; first time, 0.0554, 2, 3 ; renewable energy, 0.0519, 3, 5 ; lea wermelin, 0.0259, 2, 5 ; national center, 0.0243, 1, 6",0.7111,1.0,fossil fuels ; first time ; renewable energy ; lea wermelin ; national center
reg,41,10,"next year, 0.0318, 5, 10 ; electric cars, 0.0258, 1, 9 ; municipal council, 0.0219, 7, 11 ; electric car, 0.0189, 1, 15 ; last year, 0.0149, 4, 4",0.3733,1.0,next year ; electric cars ; municipal council ; electric car ; last year
reg,42,2,"nuclear power, 0.1626, 2, 13 ; power plants, 0.0433, 2, 4 ; solar cells, 0.0345, 2, 3 ; wind turbines, 0.0344, 2, 8 ; united states, 0.0296, 2, 2",1.0,1.0,nuclear power ; power plants ; solar cells ; wind turbines ; united states
reg,43,11,"debate salon, 0.0308, 3, 8 ; says peter, 0.0293, 3, 8 ; national assembly, 0.0259, 4, 6 ; baltic bridge, 0.0249, 3, 9 ; bornholm line, 0.0221, 3, 5",0.2909,1.0,debate salon ; says peter ; national assembly ; baltic bridge ; bornholm line
reg,44,31,"north sea, 0.0129, 12, 34 ; offshore wind, 0.0120, 25, 118 ; baltic sea, 0.0119, 20, 58 ; rønne harbor, 0.0099, 10, 17 ; wind turbine, 0.0082, 25, 83",0.5699,1.0,north sea ; offshore wind ; baltic sea ; rønne harbor ; wind turbine
reg,45,27,"offshore wind, 0.0329, 26, 236 ; bornholm offshore wind, 0.0309, 1, 1 ; bornholm offshore, 0.0304, 1, 1 ; energy agency, 0.0104, 14, 54 ; danish energy agency, 0.0104, 14, 54",0.442,1.0,offshore wind ; bornholm offshore wind ; bornholm offshore ; energy agency ; danish energy agency
reg,46,10,"henrik espersen, 0.0352, 5, 21 ; citizens association, 0.0314, 0, 0 ; juel jensen, 0.0310, 0, 0 ; transformer station, 0.0306, 6, 23 ; peter juel jensen, 0.0297, 0, 0",0.2467,1.0,henrik espersen ; citizens association ; juel jensen ; transformer station ; peter juel jensen
