cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
53,0,0,14,"offshore energy, 0.0810, 8, 26 ; energy hubs, 0.0797, 7, 21 ; offshore energy hubs, 0.0628, 5, 17 ; oil gas, 0.0400, 4, 7 ; energy hub, 0.0391, 10, 31",0.481,1.0,offshore energy ; energy hubs ; offshore energy hubs ; oil gas ; energy hub
54,0,0,3,"case studies, 0.1545, 2, 2 ; paper proposes, 0.1172, 2, 2 ; danish energy, 0.1150, 3, 3 ; energy island bornholm, 0.0971, 2, 2 ; island bornholm, 0.0911, 2, 2",0.7333,1.0,case studies ; paper proposes ; danish energy ; energy island bornholm ; island bornholm
55,2,0,19,"hydrogen production, 0.0770, 13, 27 ; green hydrogen, 0.0640, 11, 21 ; energy system, 0.0288, 7, 17 ; offshore wind, 0.0222, 15, 33 ; wind power, 0.0218, 6, 13",0.527,1.0,hydrogen production ; green hydrogen ; energy system ; offshore wind ; wind power
56,0,0,15,"energy systems, 0.1001, 6, 10 ; energy system, 0.0686, 7, 12 ; power systems, 0.0582, 5, 5 ; energy island, 0.0569, 9, 12 ; results show, 0.0438, 6, 6",0.4311,1.0,energy systems ; energy system ; power systems ; energy island ; results show
57,1,0,27,"energy system, 0.0652, 16, 37 ; renewable energy, 0.0605, 17, 29 ; elsevier ltd, 0.0403, 13, 13 ; energy sources, 0.0360, 9, 11 ; energy transition, 0.0303, 8, 9",0.5071,1.0,energy system ; renewable energy ; elsevier ltd ; energy sources ; energy transition
58,0,0,15,"high voltage direct, 0.0311, 4, 5 ; voltage direct, 0.0311, 8, 11 ; voltage direct current, 0.0311, 7, 10 ; power supply, 0.0308, 2, 3 ; offshore grid, 0.0306, 13, 18",0.4,1.0,high voltage direct ; voltage direct ; voltage direct current ; power supply ; offshore grid
59,0,0,6,"sustainable energy, 0.0875, 4, 5 ; energy sources, 0.0685, 4, 4 ; renewable energy, 0.0656, 4, 8 ; energy production, 0.0553, 2, 3 ; renewable energy sources, 0.0524, 3, 3",0.6111,1.0,sustainable energy ; energy sources ; renewable energy ; energy production ; renewable energy sources
60,0,0,1,"important role, 0.2178, 1, 1 ; first time, 0.1943, 1, 1 ; simulation results, 0.1878, 1, 1 ; elsevier ltd, 0.1738, 1, 1 ; long term, 0.1406, 0, 0",0.9333,1.0,important role ; first time ; simulation results ; elsevier ltd ; long term
61,0,0,3,"transmission grid, 0.3997, 3, 20 ; 400 kv, 0.1861, 3, 8 ; transmission system, 0.0523, 3, 3 ; case study, 0.0358, 2, 2 ; energy consumption, 0.0287, 2, 2",0.9333,1.0,transmission grid ; 400 kv ; transmission system ; case study ; energy consumption
62,3,0,3,"north sea, 0.1356, 5, 23 ; million ton, 0.0481, 1, 1 ; construction work, 0.0412, 2, 2 ; united states, 0.0411, 1, 1 ; wave energy, 0.0401, 1, 1",0.4222,1.0,north sea ; million ton ; construction work ; united states ; wave energy
63,0,0,1,"island energy, 0.3833, 1, 1 ; results show, 0.3404, 1, 1 ; energy island, 0.2499, 1, 2",1.0,1.0,island energy ; results show ; energy island
64,0,0,1,"elsevier ltd, 0.7111, 1, 1 ; energy island, 0.2629, 0, 0",0.6667,1.0,elsevier ltd ; energy island
65,0,0,16,"energy island, 0.0514, 8, 8 ; simulation results, 0.0453, 3, 3 ; energy resources, 0.0405, 4, 5 ; paper proposes, 0.0404, 3, 3 ; power system, 0.0391, 4, 7",0.3083,1.0,energy island ; simulation results ; energy resources ; paper proposes ; power system
66,2,0,3,"kriegers flak, 0.1068, 5, 15 ; reactive power, 0.0513, 2, 5 ; offshore wind power, 0.0303, 3, 4 ; wind power, 0.0263, 3, 5 ; meshed offshore, 0.0226, 2, 2",0.6667,1.0,kriegers flak ; reactive power ; offshore wind power ; wind power ; meshed offshore
67,0,0,6,"energy production, 0.1589, 4, 4 ; renewable energy, 0.0955, 4, 4 ; support energy, 0.0771, 3, 3 ; renewable energy sources, 0.0612, 3, 3 ; energy islands, 0.0594, 4, 9",0.6111,1.0,energy production ; renewable energy ; support energy ; renewable energy sources ; energy islands
68,0,0,3,"future energy, 0.3323, 1, 1 ; energy efficiency, 0.0833, 2, 2 ; support energy, 0.0820, 2, 2 ; transition energy, 0.0812, 2, 2 ; energy transition, 0.0796, 2, 2",0.5556,1.0,future energy ; energy efficiency ; support energy ; transition energy ; energy transition
69,0,0,21,"hvdc converter, 0.0563, 8, 15 ; wind power, 0.0404, 11, 17 ; hvdc system, 0.0386, 5, 10 ; offshore wind power, 0.0358, 8, 10 ; offshore hvdc, 0.0353, 5, 8",0.381,1.0,hvdc converter ; wind power ; hvdc system ; offshore wind power ; offshore hvdc
70,0,0,2,"energy systems, 0.5549, 2, 2 ; energy island, 0.4207, 2, 4",1.0,1.0,energy systems ; energy island
