cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
53,0,2,0,"business promotion, 0.0726, 2, 5 ; become part, 0.0707, 2, 3 ; bornholm future, 0.0690, 0, 0 ; says søren, 0.0685, 1, 4 ; among others, 0.0531, 2, 2",0.7333,1.0,business promotion ; become part ; bornholm future ; says søren ; among others
54,0,4,0,"jonna nielsen, 0.0490, 1, 3 ; political decision, 0.0354, 1, 1 ; new technology, 0.0352, 1, 1 ; bornholm make, 0.0351, 1, 1 ; green transition, 0.0344, 1, 2",0.25,1.0,jonna nielsen ; political decision ; new technology ; bornholm make ; green transition
55,2,8,0,"labor market, 0.0536, 5, 11 ; skilled workers, 0.0235, 2, 2 ; recent years, 0.0197, 2, 2 ; among things, 0.0196, 4, 7 ; first foremost, 0.0195, 1, 1",0.32,1.0,labor market ; skilled workers ; recent years ; among things ; first foremost
56,0,1,0,"30 years, 0.1217, 1, 4 ; something new, 0.0922, 1, 3 ; 20 years, 0.0552, 1, 2 ; years ago, 0.0477, 1, 2 ; station bornholm, 0.0302, 1, 1",1.0,1.0,30 years ; something new ; 20 years ; years ago ; station bornholm
57,3,8,1,"energy sector, 0.0324, 1, 2 ; transport sector, 0.0178, 1, 1 ; energy islands north, 0.0174, 4, 11 ; islands north sea, 0.0171, 4, 11 ; islands north, 0.0171, 4, 11",0.1833,0.0,energy sector ; transport sector ; energy islands north ; islands north sea ; islands north
58,0,11,0,"thomas thors, 0.0225, 1, 5 ; 42 000, 0.0207, 0, 0 ; business community, 0.0193, 3, 12 ; ten years, 0.0183, 2, 3 ; bornholm business community, 0.0167, 3, 7",0.1273,0.0,thomas thors ; 42 000 ; business community ; ten years ; bornholm business community
59,0,8,0,"cultural identity, 0.0843, 3, 20 ; business fund, 0.0482, 2, 27 ; total dkk, 0.0277, 2, 13 ; bornholm business, 0.0250, 3, 18 ; bornholm companies, 0.0247, 3, 14",0.3167,1.0,cultural identity ; business fund ; total dkk ; bornholm business ; bornholm companies
60,2,13,0,"baltic sea, 0.0123, 7, 29 ; would rather, 0.0095, 3, 3 ; citizen meetings, 0.0091, 2, 2 ; open door, 0.0089, 2, 8 ; election campaign, 0.0084, 2, 8",0.2622,1.0,baltic sea ; would rather ; citizen meetings ; open door ; election campaign
61,0,5,0,"food school, 0.0694, 3, 26 ; part energy, 0.0652, 1, 1 ; consultation response, 0.0635, 2, 2 ; søren schow, 0.0508, 3, 24 ; land plant, 0.0424, 1, 1",0.4267,1.0,food school ; part energy ; consultation response ; søren schow ; land plant
62,0,20,0,"business park, 0.0335, 9, 59 ; ole sonne, 0.0211, 1, 11 ; municipal council, 0.0189, 14, 39 ; rené danielsson, 0.0173, 7, 21 ; danish people, 0.0170, 11, 23",0.3867,1.0,business park ; ole sonne ; municipal council ; rené danielsson ; danish people
63,3,23,0,"electric cars, 0.0154, 3, 12 ; wind turbines, 0.0147, 20, 61 ; electricity prices, 0.0102, 2, 7 ; new jobs, 0.0093, 2, 3 ; come bornholm, 0.0092, 4, 4",0.2795,1.0,electric cars ; wind turbines ; electricity prices ; new jobs ; come bornholm
64,0,2,2,"power plant, 0.1573, 1, 5 ; sustainable energy, 0.0810, 1, 1 ; young people, 0.0806, 2, 15 ; energy sources, 0.0636, 1, 1 ; rights reserved, 0.0603, 1, 1",0.3,1.0,power plant ; sustainable energy ; young people ; energy sources ; rights reserved
65,0,2,0,"people meeting, 0.3438, 0, 0 ; national assembly, 0.0912, 1, 1 ; municipal council, 0.0527, 1, 4 ; frederik tolstrup, 0.0405, 1, 1 ; food school, 0.0355, 1, 1",0.3333,1.0,people meeting ; national assembly ; municipal council ; frederik tolstrup ; food school
66,0,10,0,"social democracy, 0.0559, 7, 58 ; anne thomas, 0.0467, 3, 34 ; top candidate, 0.0294, 4, 20 ; unity list, 0.0251, 3, 35 ; social democratic, 0.0218, 3, 8",0.4533,1.0,social democracy ; anne thomas ; top candidate ; unity list ; social democratic
67,0,0,37,"ac grid, 0.0280, 7, 13 ; wind power, 0.0270, 15, 33 ; offshore grid, 0.0266, 29, 43 ; offshore ac, 0.0236, 5, 12 ; dc grid, 0.0234, 9, 17",0.3622,1.0,ac grid ; wind power ; offshore grid ; offshore ac ; dc grid
68,0,0,26,"vsc hvdc, 0.0660, 0, 0 ; five years, 0.0321, 1, 2 ; reactive power, 0.0247, 5, 13 ; offshore grid, 0.0239, 16, 21 ; multi terminal, 0.0232, 0, 0",0.1308,0.0,vsc hvdc ; five years ; reactive power ; offshore grid ; multi terminal
69,0,0,6,"wave energy, 0.2177, 2, 4 ; offshore grid, 0.1853, 2, 5 ; energy island, 0.1676, 3, 3 ; energy energy, 0.1229, 0, 0 ; energy storage, 0.0764, 2, 3",0.3222,1.0,wave energy ; offshore grid ; energy island ; energy energy ; energy storage
70,0,2,14,"hydrogen production, 0.0759, 12, 24 ; green hydrogen, 0.0605, 8, 16 ; energy system, 0.0316, 6, 16 ; offshore energy, 0.0233, 3, 5 ; case study, 0.0222, 2, 2",0.4917,1.0,hydrogen production ; green hydrogen ; energy system ; offshore energy ; case study
