cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
41,0,11,0,"social democracy, 0.1003, 11, 61 ; top candidate, 0.0739, 7, 33 ; says anne thomas, 0.0604, 4, 26 ; social democratic, 0.0351, 5, 11 ; thomas thors, 0.0340, 3, 9",0.6545,1.0,social democracy ; top candidate ; says anne thomas ; social democratic ; thomas thors
42,2,16,0,"nuclear power, 0.0389, 2, 45 ; says peter, 0.0184, 3, 11 ; general meeting, 0.0171, 3, 6 ; danish energy agency, 0.0160, 5, 24 ; energy islands bornholm, 0.0158, 10, 40",0.1889,0.0,nuclear power ; says peter ; general meeting ; danish energy agency ; energy islands bornholm
43,0,17,0,"plan strategy, 0.0175, 2, 30 ; niels chresten andersen, 0.0142, 1, 6 ; regional municipality, 0.0142, 8, 13 ; municipal council, 0.0142, 9, 37 ; søren schow, 0.0133, 3, 29",0.2314,1.0,plan strategy ; niels chresten andersen ; regional municipality ; municipal council ; søren schow
44,0,4,0,"local plan, 0.1157, 1, 1 ; large scale, 0.0927, 0, 0 ; green business park, 0.0849, 3, 10 ; energy island, 0.0581, 4, 8 ; says thomas, 0.0470, 1, 4",0.3833,1.0,local plan ; large scale ; green business park ; energy island ; says thomas
45,0,4,0,"food school, 0.1244, 4, 29 ; business park, 0.0750, 4, 28 ; heidi burgedahl, 0.0711, 4, 12 ; municipal council, 0.0414, 4, 19 ; unity list, 0.0398, 4, 11",1.0,1.0,food school ; business park ; heidi burgedahl ; municipal council ; unity list
46,1,36,0,"energy islands bornholm, 0.0125, 26, 85 ; gas station, 0.0125, 5, 7 ; electric cars, 0.0121, 2, 10 ; district heating, 0.0110, 10, 22 ; klaus vesløv, 0.0107, 3, 17",0.3225,1.0,energy islands bornholm ; gas station ; electric cars ; district heating ; klaus vesløv
47,3,30,0,"bornholm offshore wind, 0.0278, 6, 8 ; offshore wind farm, 0.0270, 28, 97 ; danish energy agency, 0.0263, 13, 66 ; open door scheme, 0.0142, 7, 23 ; offshore wind turbine, 0.0136, 23, 63",0.4404,1.0,bornholm offshore wind ; offshore wind farm ; danish energy agency ; open door scheme ; offshore wind turbine
48,0,0,7,"even though, 0.1012, 1, 1 ; elsevier ltd, 0.0993, 2, 2 ; wave energy, 0.0774, 1, 2 ; real time, 0.0723, 0, 0 ; energy conversion, 0.0651, 2, 2",0.1714,0.0,even though ; elsevier ltd ; wave energy ; real time ; energy conversion
49,0,1,21,"wave energy, 0.1071, 4, 11 ; renewable energy, 0.0879, 14, 28 ; energy conversion, 0.0472, 2, 2 ; energy energy, 0.0398, 0, 0 ; wind energy, 0.0345, 4, 9",0.2606,1.0,wave energy ; renewable energy ; energy conversion ; energy energy ; wind energy
50,0,0,3,"energy island, 0.3229, 3, 3 ; energy consumption, 0.0878, 1, 1 ; results show, 0.0802, 1, 1 ; rights reserved, 0.0764, 1, 1 ; energy system, 0.0650, 2, 2",0.5778,1.0,energy island ; energy consumption ; results show ; rights reserved ; energy system
51,0,0,6,"new energy, 0.1289, 4, 4 ; control strategy, 0.1168, 2, 3 ; reactive power, 0.0782, 3, 4 ; grid frequency, 0.0553, 2, 3 ; power grid, 0.0536, 2, 2",0.4778,1.0,new energy ; control strategy ; reactive power ; grid frequency ; power grid
52,0,0,14,"offshore energy hubs, 0.0810, 5, 17 ; oil gas, 0.0798, 4, 7 ; energy production, 0.0628, 1, 1 ; power plants, 0.0400, 1, 1 ; energy system, 0.0391, 6, 10",0.2476,1.0,offshore energy hubs ; oil gas ; energy production ; power plants ; energy system
