Source,cluster,count,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
sci,27,15,"offshore wind, 0.0177, 12, 42 ; wind power, 0.0175, 6, 26 ; offshore renewable energy, 0.0164, 2, 3 ; offshore renewable, 0.0155, 2, 3 ; offshore grid, 0.0140, 11, 34",0.4667,1.0,offshore wind ; wind power ; offshore renewable energy ; offshore renewable ; offshore grid
sci,28,2,"end users, 0.0912, 0, 0 ; risk management, 0.0877, 2, 4 ; energy islands, 0.0564, 2, 6 ; energy production consumption, 0.0423, 2, 2 ; organizers published, 0.0422, 0, 0",0.6,1.0,end users ; risk management ; energy islands ; energy production consumption ; organizers published
sci,29,11,"vsc hvdc, 0.0491, 0, 0 ; new energy, 0.0302, 3, 11 ; safety margin, 0.0241, 2, 7 ; converter station, 0.0229, 3, 9 ; fuel cell, 0.0196, 2, 3",0.1576,0.0,vsc hvdc ; new energy ; safety margin ; converter station ; fuel cell
sci,30,2,"simulations performed, 0.4994, 1, 1 ; 2011 ieee, 0.1783, 1, 1 ; proposed system, 0.1648, 1, 1 ; real time, 0.1518, 1, 1",0.5,1.0,simulations performed ; 2011 ieee ; proposed system ; real time
sci,31,4,"wind farm, 0.0512, 2, 10 ; wind power plants, 0.0423, 2, 8 ; power plants, 0.0388, 2, 8 ; power output, 0.0323, 1, 2 ; offshore wind energy, 0.0323, 1, 3",0.45,1.0,wind farm ; wind power plants ; power plants ; power output ; offshore wind energy
sci,32,14,"hvdc grids, 0.0160, 2, 7 ; dc grid, 0.0129, 5, 19 ; multi terminal, 0.0104, 0, 0 ; multi terminal dc, 0.0093, 0, 0 ; terminal dc, 0.0090, 3, 4",0.1571,0.0,hvdc grids ; dc grid ; multi terminal ; multi terminal dc ; terminal dc
sci,33,17,"energy storage, 0.0335, 7, 15 ; wave energy, 0.0215, 3, 7 ; management system, 0.0199, 4, 5 ; power grid, 0.0141, 2, 5 ; battery system, 0.0126, 2, 3",0.2549,1.0,energy storage ; wave energy ; management system ; power grid ; battery system
sci,34,16,"baltic sea, 0.0234, 5, 9 ; offshore grids, 0.0191, 7, 11 ; offshore energy hubs, 0.0162, 2, 7 ; integrated offshore, 0.0154, 4, 6 ; energy hubs, 0.0152, 2, 7",0.2875,1.0,baltic sea ; offshore grids ; offshore energy hubs ; integrated offshore ; energy hubs
sci,35,3,"offshore wind energy, 0.1073, 3, 9 ; wind energy, 0.1038, 3, 11 ; offshore wind, 0.0564, 3, 11 ; oil gas, 0.0505, 2, 2 ; generation transmission, 0.0497, 1, 2",0.9111,1.0,offshore wind energy ; wind energy ; offshore wind ; oil gas ; generation transmission
sci,36,12,"grid frequency, 0.0249, 2, 6 ; impedance based, 0.0167, 1, 2 ; short circuit, 0.0152, 1, 2 ; hvdc link, 0.0148, 2, 2 ; electrical resonances, 0.0147, 2, 5",0.1278,0.0,grid frequency ; impedance based ; short circuit ; hvdc link ; electrical resonances
sci,37,12,"power supply, 0.0287, 2, 3 ; springer nature, 0.0167, 1, 1 ; low cost, 0.0166, 1, 1 ; dc link, 0.0166, 1, 2 ; distributed energy, 0.0164, 1, 1",0.1111,0.0,power supply ; springer nature ; low cost ; dc link ; distributed energy
