Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,78,1,12.749072,5.5340977,"offshore grid, 0.0237, 16, 21 ; north sea, 0.0231, 10, 18 ; renewable energy, 0.0214, 9, 19 ; energy systems, 0.0190, 5, 7 ; european commission, 0.0174, 5, 15",0.3724,1.0,offshore grid ; north sea ; renewable energy ; energy systems ; european commission
pro,89,1,12.589056,4.9428244,"offshore grids, 0.0499, 9, 14 ; offshore grid, 0.0475, 15, 32 ; offshore wind, 0.0244, 11, 25 ; north sea, 0.0233, 10, 17 ; meshed offshore, 0.0219, 5, 6",0.5175,1.0,offshore grids ; offshore grid ; offshore wind ; north sea ; meshed offshore
pro,93,2,7.3270392,6.094976,"real time, 0.0682, 3, 3 ; energy island, 0.0371, 6, 13 ; power systems, 0.0369, 3, 5 ; reactive power, 0.0343, 1, 4 ; short time, 0.0320, 1, 1",0.1789,0.0,real time ; energy island ; power systems ; reactive power ; short time
pro,99,1,12.960505,4.413957,"wind turbine, 0.0531, 3, 5 ; offshore ac, 0.0406, 1, 1 ; ac grid, 0.0322, 1, 1 ; onshore grid, 0.0246, 1, 1 ; expansion planning, 0.0239, 1, 3",0.1515,0.0,wind turbine ; offshore ac ; ac grid ; onshore grid ; expansion planning
reg,0,16,8.640434,6.4157124,"artificial island, 0.0181, 13, 24 ; island north sea, 0.0153, 11, 27 ; 10 gw, 0.0138, 9, 18 ; new year, 0.0112, 4, 4 ; danish energy agency, 0.0112, 14, 26",0.3398,1.0,artificial island ; island north sea ; 10 gw ; new year ; danish energy agency
reg,1,3,9.083819,5.8852773,"000 tonnes, 0.0181, 4, 11 ; electricity consumption, 0.0151, 2, 8 ; north sea, 0.0137, 9, 33 ; says thomas, 0.0122, 1, 5 ; electricity grid, 0.0105, 7, 13",0.2844,1.0,000 tonnes ; electricity consumption ; north sea ; says thomas ; electricity grid
reg,3,8,6.262808,6.595122,"energy islands bornholm, 0.0195, 12, 49 ; danish energy agency, 0.0195, 13, 35 ; niels chresten andersen, 0.0171, 1, 6 ; billion kroner, 0.0169, 2, 8 ; danish people party, 0.0158, 0, 0",0.4175,1.0,energy islands bornholm ; danish energy agency ; niels chresten andersen ; billion kroner ; danish people party
reg,4,10,9.602749,6.47385,"kriegers flak, 0.0219, 6, 13 ; north sea, 0.0169, 13, 50 ; nature conservation, 0.0122, 1, 1 ; converter stations, 0.0118, 2, 9 ; two countries, 0.0109, 6, 8",0.2754,1.0,kriegers flak ; north sea ; nature conservation ; converter stations ; two countries
reg,6,6,6.39152,6.213081,"nuclear power, 0.0168, 2, 21 ; green power, 0.0149, 11, 38 ; danish waters, 0.0112, 2, 10 ; district heating, 0.0095, 4, 18 ; green transition, 0.0093, 8, 23",0.2413,1.0,nuclear power ; green power ; danish waters ; district heating ; green transition
reg,7,11,7.7414913,5.307015,"offshore grid, 0.0384, 2, 5 ; two years, 0.0248, 3, 4 ; energy islands bornholm, 0.0168, 13, 43 ; 10 million, 0.0168, 2, 12 ; one hand, 0.0164, 1, 1",0.2316,1.0,offshore grid ; two years ; energy islands bornholm ; 10 million ; one hand
