cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
82,0,0,28,"reactive power, 0.0356, 5, 6 ; energy storage, 0.0355, 7, 9 ; power systems, 0.0258, 7, 8 ; hvdc system, 0.0246, 5, 10 ; control strategy, 0.0219, 3, 10",0.2071,1.0,reactive power ; energy storage ; power systems ; hvdc system ; control strategy
83,0,0,14,"offshore wind, 0.0398, 11, 24 ; offshore grid, 0.0391, 11, 15 ; north sea, 0.0266, 10, 17 ; wind farms, 0.0265, 4, 11 ; cross border, 0.0258, 0, 0",0.6524,1.0,offshore wind ; offshore grid ; north sea ; wind farms ; cross border
84,0,0,12,"oil gas, 0.0904, 6, 7 ; offshore grid, 0.0866, 5, 6 ; co2 emissions, 0.0687, 4, 7 ; rights reserved, 0.0439, 3, 3 ; results show, 0.0427, 2, 2",0.3889,1.0,oil gas ; offshore grid ; co2 emissions ; rights reserved ; results show
85,0,0,18,"offshore grid, 0.0568, 13, 36 ; wind power, 0.0524, 8, 34 ; offshore wind power, 0.0346, 7, 20 ; offshore wind, 0.0332, 15, 47 ; power system, 0.0329, 8, 15",0.5778,1.0,offshore grid ; wind power ; offshore wind power ; offshore wind ; power system
86,0,0,3,"electricity prices, 0.2438, 1, 1 ; potential energy, 0.1156, 2, 2 ; support energy, 0.1138, 2, 2 ; renewable energy sources, 0.0916, 2, 2 ; energy islands, 0.0904, 2, 6",0.5556,1.0,electricity prices ; potential energy ; support energy ; renewable energy sources ; energy islands
87,0,0,20,"multi terminal, 0.0312, 0, 0 ; offshore grid, 0.0298, 12, 19 ; planned offshore, 0.0287, 2, 3 ; high voltage, 0.0269, 5, 8 ; dc grid, 0.0260, 5, 19",0.23,1.0,multi terminal ; offshore grid ; planned offshore ; high voltage ; dc grid
88,0,0,20,"energy storage, 0.0599, 7, 16 ; results show, 0.0352, 5, 5 ; wave energy, 0.0308, 3, 7 ; power system, 0.0304, 5, 6 ; energy system, 0.0288, 3, 7",0.2567,1.0,energy storage ; results show ; wave energy ; power system ; energy system
89,1,0,20,"offshore grids, 0.0499, 9, 14 ; offshore grid, 0.0475, 15, 32 ; offshore wind, 0.0244, 11, 25 ; north sea, 0.0233, 10, 17 ; meshed offshore, 0.0219, 5, 6",0.5175,1.0,offshore grids ; offshore grid ; offshore wind ; north sea ; meshed offshore
90,0,0,5,"offshore wind, 0.1191, 4, 14 ; offshore wind energy, 0.1182, 3, 9 ; wind energy, 0.1030, 3, 11 ; north sea, 0.0946, 4, 5 ; rights reserved, 0.0783, 3, 3",0.6933,1.0,offshore wind ; offshore wind energy ; wind energy ; north sea ; rights reserved
91,0,0,19,"grid frequency, 0.0611, 3, 9 ; hvdc converter, 0.0468, 5, 10 ; power system, 0.0426, 6, 12 ; dc grid, 0.0345, 4, 9 ; multi terminal, 0.0321, 0, 0",0.214,1.0,grid frequency ; hvdc converter ; power system ; dc grid ; multi terminal
92,0,0,14,"control strategy, 0.0500, 4, 4 ; power supply, 0.0458, 2, 3 ; new energy, 0.0407, 2, 3 ; simulation results, 0.0396, 6, 6 ; hvdc system, 0.0387, 4, 7",0.2381,1.0,control strategy ; power supply ; new energy ; simulation results ; hvdc system
