cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
63,0,0,1,"elsevier ltd, 0.7111, 1, 1 ; energy island, 0.2629, 0, 0",0.6667,1.0,elsevier ltd ; energy island
64,0,0,16,"energy island, 0.0508, 8, 8 ; energy resources, 0.0405, 4, 5 ; paper proposes, 0.0404, 3, 3 ; simulation results, 0.0375, 3, 3 ; power system, 0.0363, 4, 7",0.3125,1.0,energy island ; energy resources ; paper proposes ; simulation results ; power system
65,2,0,3,"kriegers flak, 0.1073, 5, 15 ; reactive power, 0.0512, 2, 5 ; offshore wind power, 0.0303, 3, 4 ; wind power, 0.0262, 3, 5 ; meshed offshore, 0.0226, 2, 2",0.6667,1.0,kriegers flak ; reactive power ; offshore wind power ; wind power ; meshed offshore
66,0,0,6,"energy production, 0.1589, 4, 4 ; renewable energy, 0.0955, 4, 4 ; support energy, 0.0771, 3, 3 ; renewable energy sources, 0.0612, 3, 3 ; energy islands, 0.0593, 4, 9",0.6111,1.0,energy production ; renewable energy ; support energy ; renewable energy sources ; energy islands
67,0,0,21,"hvdc converter, 0.0563, 8, 15 ; wind power, 0.0404, 11, 17 ; hvdc system, 0.0375, 5, 10 ; offshore wind power, 0.0357, 8, 10 ; offshore hvdc, 0.0353, 5, 8",0.381,1.0,hvdc converter ; wind power ; hvdc system ; offshore wind power ; offshore hvdc
68,0,0,2,"energy systems, 0.5550, 2, 2 ; energy island, 0.4207, 2, 4",1.0,1.0,energy systems ; energy island
69,0,0,11,"energy islands, 0.1437, 5, 7 ; sustainable energy, 0.1250, 2, 2 ; local community, 0.0545, 1, 1 ; results show, 0.0413, 2, 2 ; land sea, 0.0407, 1, 1",0.2485,1.0,energy islands ; sustainable energy ; local community ; results show ; land sea
70,0,0,3,"five years, 0.2827, 1, 2 ; power plant, 0.2106, 1, 5 ; sustainable energy, 0.1094, 1, 1 ; energy island, 0.0890, 3, 3 ; energy sources, 0.0862, 1, 1",0.4222,1.0,five years ; power plant ; sustainable energy ; energy island ; energy sources
71,0,0,3,"future energy, 0.3323, 1, 1 ; energy efficiency, 0.0833, 2, 2 ; support energy, 0.0820, 2, 2 ; transition energy, 0.0812, 2, 2 ; energy transition, 0.0796, 2, 2",0.5556,1.0,future energy ; energy efficiency ; support energy ; transition energy ; energy transition
72,0,0,1,"important role, 0.2577, 1, 1 ; power supply, 0.2440, 1, 1 ; power transmission, 0.2389, 1, 1 ; large scale, 0.1660, 0, 0 ; energy island, 0.0625, 0, 0",0.8,1.0,important role ; power supply ; power transmission ; large scale ; energy island
73,0,3,4,"renewable energy, 0.1300, 6, 15 ; create new, 0.0558, 1, 1 ; wind farm, 0.0555, 1, 3 ; sustainable energy, 0.0521, 1, 1 ; make sense, 0.0346, 1, 1",0.381,1.0,renewable energy ; create new ; wind farm ; sustainable energy ; make sense
74,0,0,3,"co2 emissions, 0.1263, 2, 3 ; power supply, 0.1001, 2, 2 ; environmental impact, 0.0995, 2, 2 ; oil gas, 0.0962, 2, 2 ; case study, 0.0929, 2, 2",0.6667,1.0,co2 emissions ; power supply ; environmental impact ; oil gas ; case study
75,0,0,8,"vsc hvdc, 0.1973, 0, 0 ; reactive power, 0.1240, 2, 10 ; new energy, 0.0557, 3, 10 ; converter station, 0.0556, 2, 8 ; hvdc system, 0.0493, 3, 6",0.2,0.0,vsc hvdc ; reactive power ; new energy ; converter station ; hvdc system
76,0,0,7,"energy security, 0.2395, 5, 13 ; energy policy, 0.0949, 3, 3 ; european countries, 0.0754, 2, 3 ; case study, 0.0661, 3, 3 ; energy sector, 0.0582, 2, 2",0.4857,1.0,energy security ; energy policy ; european countries ; case study ; energy sector
77,0,0,12,"reactive power, 0.0862, 8, 24 ; offshore ac, 0.0555, 6, 13 ; wind power, 0.0476, 9, 20 ; wind power plants, 0.0439, 7, 13 ; active power, 0.0348, 9, 31",0.6333,1.0,reactive power ; offshore ac ; wind power ; wind power plants ; active power
78,0,0,28,"dc grid, 0.0447, 8, 18 ; power transmission, 0.0332, 6, 8 ; paper presents, 0.0284, 6, 6 ; power system, 0.0249, 9, 14 ; wind power, 0.0239, 11, 18",0.2643,1.0,dc grid ; power transmission ; paper presents ; power system ; wind power
79,0,0,2,"energy islands, 0.4841, 1, 1 ; potential energy, 0.3784, 1, 1 ; energy island, 0.0996, 2, 2",0.5833,1.0,energy islands ; potential energy ; energy island
80,0,0,46,"multi terminal, 0.0297, 0, 0 ; vsc hvdc, 0.0289, 2, 3 ; voltage source, 0.0283, 13, 13 ; offshore grids, 0.0243, 12, 14 ; offshore ac, 0.0206, 6, 11",0.1116,0.0,multi terminal ; vsc hvdc ; voltage source ; offshore grids ; offshore ac
81,0,0,4,"dc grid, 0.1468, 2, 3 ; power system, 0.1131, 3, 6 ; multi terminal, 0.1110, 0, 0 ; dc voltage, 0.0895, 1, 1 ; power systems, 0.0816, 2, 3",0.4333,1.0,dc grid ; power system ; multi terminal ; dc voltage ; power systems
82,0,0,7,"long term, 0.1497, 1, 2 ; vsc hvdc, 0.0629, 1, 2 ; case study, 0.0533, 4, 4 ; north sea offshore, 0.0530, 3, 3 ; offshore grid, 0.0506, 5, 5",0.3048,1.0,long term ; vsc hvdc ; case study ; north sea offshore ; offshore grid
83,0,0,11,"offshore grid, 0.0978, 10, 16 ; offshore wind, 0.0513, 7, 17 ; power system, 0.0496, 2, 3 ; cost effective, 0.0409, 2, 2 ; offshore wind farms, 0.0368, 4, 5",0.5576,1.0,offshore grid ; offshore wind ; power system ; cost effective ; offshore wind farms
84,1,0,8,"offshore wind, 0.1071, 8, 39 ; offshore wind energy, 0.1040, 5, 12 ; wind energy, 0.0842, 5, 14 ; north sea, 0.0482, 5, 7 ; oil gas, 0.0406, 3, 3",0.6519,1.0,offshore wind ; offshore wind energy ; wind energy ; north sea ; oil gas
85,0,0,18,"ac grid, 0.0365, 2, 7 ; offshore grid, 0.0341, 13, 19 ; grid forming, 0.0285, 0, 0 ; offshore wind power, 0.0270, 8, 10 ; paper proposes, 0.0251, 5, 6",0.3074,1.0,ac grid ; offshore grid ; grid forming ; offshore wind power ; paper proposes
86,5,0,18,"north sea, 0.0413, 16, 36 ; offshore wind, 0.0304, 15, 40 ; renewable energy, 0.0271, 12, 16 ; offshore grid, 0.0259, 14, 23 ; offshore grids, 0.0193, 5, 7",0.6058,1.0,north sea ; offshore wind ; renewable energy ; offshore grid ; offshore grids
87,0,0,15,"offshore grid, 0.0874, 13, 20 ; offshore wind, 0.0675, 12, 26 ; wind farm, 0.0403, 7, 11 ; expansion planning, 0.0390, 4, 8 ; north sea, 0.0336, 7, 7",0.6622,1.0,offshore grid ; offshore wind ; wind farm ; expansion planning ; north sea
88,0,0,5,"energy consumption, 0.2211, 2, 7 ; energy system, 0.1187, 1, 2 ; results show, 0.0708, 1, 1 ; energy sources, 0.0466, 1, 2 ; energy hub, 0.0428, 1, 1",0.2667,1.0,energy consumption ; energy system ; results show ; energy sources ; energy hub
89,0,0,2,"real time, 0.4978, 1, 1",0.5,1.0,real time
90,0,0,9,"large scale, 0.0764, 1, 1 ; transmission system, 0.0724, 3, 9 ; offshore wind, 0.0529, 6, 12 ; vsc hvdc, 0.0428, 1, 1 ; power flow, 0.0414, 2, 5",0.2889,1.0,large scale ; transmission system ; offshore wind ; vsc hvdc ; power flow
