Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
reg,37,8,-0.16945566,7.921869,"baltic sea, 0.0369, 5, 24 ; submarine cable, 0.0319, 4, 14 ; environmental impact, 0.0307, 4, 17 ; bornholm zealand, 0.0277, 5, 10 ; danish environmental protection, 0.0277, 4, 14",0.4963,1.0,baltic sea ; submarine cable ; environmental impact ; bornholm zealand ; danish environmental protection
reg,38,16,-2.872393,7.8311124,"municipal council, 0.0379, 12, 45 ; savings catalog, 0.0315, 7, 22 ; next year, 0.0284, 10, 31 ; 000 kroner, 0.0255, 5, 20 ; social democracy, 0.0240, 8, 39",0.5667,1.0,municipal council ; savings catalog ; next year ; 000 kroner ; social democracy
reg,39,3,-2.0997286,7.252142,"cultural identity, 0.2315, 3, 19 ; young people, 0.0657, 1, 6 ; starting point, 0.0371, 1, 2 ; lag bornholm, 0.0365, 2, 3 ; give us, 0.0219, 1, 1",0.6,1.0,cultural identity ; young people ; starting point ; lag bornholm ; give us
reg,40,2,-1.1849476,6.414878,"henrik espersen, 0.1578, 2, 12 ; nuclear power, 0.0602, 1, 6 ; offshore wind, 0.0446, 2, 17 ; wind turbines, 0.0429, 2, 10 ; offshore wind turbines, 0.0424, 2, 7",0.8667,1.0,henrik espersen ; nuclear power ; offshore wind ; wind turbines ; offshore wind turbines
reg,41,34,-2.0040839,7.2071705,"young people, 0.0197, 6, 25 ; labor market, 0.0190, 6, 10 ; green transition, 0.0122, 14, 36 ; municipal council, 0.0096, 12, 29 ; island also, 0.0090, 2, 2",0.2392,1.0,young people ; labor market ; green transition ; municipal council ; island also
reg,42,11,-2.9289215,8.55358,"anne thomas, 0.1002, 8, 77 ; social democracy, 0.0733, 11, 61 ; top candidate, 0.0605, 7, 33 ; says anne thomas, 0.0350, 4, 26 ; says anne, 0.0340, 4, 26",0.7091,1.0,anne thomas ; social democracy ; top candidate ; says anne thomas ; says anne
reg,43,16,-1.3279982,7.315979,"nuclear power, 0.0384, 2, 45 ; says peter, 0.0184, 3, 11 ; energy agency, 0.0172, 6, 26 ; general meeting, 0.0160, 3, 6 ; danish energy agency, 0.0160, 5, 24",0.1889,0.0,nuclear power ; says peter ; energy agency ; general meeting ; danish energy agency
reg,44,17,-1.9972581,7.498202,"plan strategy, 0.0174, 2, 30 ; chresten andersen, 0.0142, 1, 6 ; niels chresten andersen, 0.0142, 1, 6 ; niels chresten, 0.0142, 1, 6 ; regional municipality, 0.0133, 8, 13",0.1059,0.0,plan strategy ; chresten andersen ; niels chresten andersen ; niels chresten ; regional municipality
reg,45,4,-2.2620268,7.608826,"local plan, 0.1157, 1, 1 ; green business, 0.0943, 3, 14 ; large scale, 0.0849, 0, 0 ; green business park, 0.0598, 3, 10 ; business park, 0.0484, 3, 10",0.4333,1.0,local plan ; green business ; large scale ; green business park ; business park
reg,46,4,-2.8181403,8.411134,"food school, 0.1241, 4, 29 ; søren schow, 0.0746, 4, 25 ; business park, 0.0711, 4, 28 ; heidi burgedahl, 0.0411, 4, 12 ; municipal council, 0.0403, 4, 19",1.0,1.0,food school ; søren schow ; business park ; heidi burgedahl ; municipal council
reg,47,36,0.43606237,6.9569345,"energy islands bornholm, 0.0126, 26, 85 ; islands bornholm, 0.0126, 26, 85 ; baltic sea, 0.0120, 18, 36 ; gas station, 0.0110, 5, 7 ; electric cars, 0.0107, 2, 10",0.5405,1.0,energy islands bornholm ; islands bornholm ; baltic sea ; gas station ; electric cars
reg,48,30,0.5543451,6.1763725,"offshore wind, 0.0281, 32, 251 ; bornholm offshore wind, 0.0271, 6, 8 ; bornholm offshore, 0.0264, 6, 8 ; offshore wind farm, 0.0141, 28, 97 ; open door, 0.0135, 9, 33",0.5394,1.0,offshore wind ; bornholm offshore wind ; bornholm offshore ; offshore wind farm ; open door
reg,50,1,0.45314786,8.049231,"wave energy, 0.1071, 4, 11 ; renewable energy, 0.0879, 14, 28 ; energy conversion, 0.0471, 2, 2 ; energy energy, 0.0398, 0, 0 ; wind energy, 0.0344, 4, 9",0.2606,1.0,wave energy ; renewable energy ; energy conversion ; energy energy ; wind energy
reg,74,3,1.5543264,7.854278,"renewable energy, 0.1308, 6, 15 ; create new, 0.0558, 1, 1 ; wind farm, 0.0555, 1, 3 ; sustainable energy, 0.0519, 1, 1 ; make sense, 0.0346, 1, 1",0.381,1.0,renewable energy ; create new ; wind farm ; sustainable energy ; make sense
reg,91,1,3.775903,9.076506,"offshore grid, 0.1417, 25, 59 ; north sea, 0.0627, 18, 40 ; cross border, 0.0172, 0, 0 ; electricity infrastructure, 0.0170, 2, 2 ; transmission system, 0.0169, 6, 8",0.4182,1.0,offshore grid ; north sea ; cross border ; electricity infrastructure ; transmission system
reg,103,1,4.2981157,6.6794047,"energy storage, 0.2064, 9, 17 ; storage system, 0.0491, 3, 4 ; energy system, 0.0472, 3, 10 ; power generation, 0.0441, 3, 3 ; power grid, 0.0301, 1, 4",0.4424,1.0,energy storage ; storage system ; energy system ; power generation ; power grid
sci,2,1,3.1067736,7.103635,"north sea, 0.0131, 23, 62 ; 10 gw, 0.0119, 9, 23 ; energy islands, 0.0116, 29, 143 ; sustainable energy, 0.0109, 2, 4 ; island north sea, 0.0107, 14, 19",0.5689,1.0,north sea ; 10 gw ; energy islands ; sustainable energy ; island north sea
sci,3,5,4.0157013,6.9409537,"electricity grid, 0.0287, 8, 37 ; co2 emissions, 0.0251, 2, 5 ; electricity consumption, 0.0240, 9, 29 ; electricity generation, 0.0228, 5, 10 ; per cent, 0.0163, 3, 10",0.3259,1.0,electricity grid ; co2 emissions ; electricity consumption ; electricity generation ; per cent
sci,5,3,3.4930873,8.641621,"north sea, 0.0212, 6, 29 ; wind energy, 0.0194, 9, 10 ; european energy, 0.0168, 3, 4 ; offshore wind, 0.0167, 8, 47 ; gw offshore, 0.0165, 6, 13",0.5389,1.0,north sea ; wind energy ; european energy ; offshore wind ; gw offshore
