cluster,pro,reg,sci,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
57,0,0,24,"vsc hvdc, 0.1011, 1, 2 ; source converter, 0.0356, 11, 13 ; hvdc transmission, 0.0257, 7, 8 ; voltage direct current, 0.0257, 8, 8 ; high voltage direct, 0.0230, 7, 7",0.2583,1.0,vsc hvdc ; source converter ; hvdc transmission ; voltage direct current ; high voltage direct
58,0,0,27,"offshore grid, 0.0933, 19, 34 ; north sea, 0.0620, 15, 26 ; offshore wind, 0.0599, 19, 44 ; offshore wind energy, 0.0454, 9, 16 ; offshore grids, 0.0363, 6, 8",0.5827,1.0,offshore grid ; north sea ; offshore wind ; offshore wind energy ; offshore grids
59,0,0,4,"energy system, 0.1500, 1, 2 ; energy production, 0.1290, 1, 1 ; power plants, 0.1159, 1, 1 ; co2 emissions, 0.0942, 2, 3 ; results show, 0.0895, 1, 1",0.2833,1.0,energy system ; energy production ; power plants ; co2 emissions ; results show
60,0,0,40,"offshore grid, 0.0571, 30, 51 ; north sea, 0.0342, 17, 27 ; offshore wind, 0.0333, 28, 56 ; wind farms, 0.0315, 19, 30 ; power system, 0.0235, 13, 20",0.5883,1.0,offshore grid ; north sea ; offshore wind ; wind farms ; power system
61,0,0,6,"wave energy, 0.2100, 3, 4 ; long term, 0.1233, 0, 0 ; elsevier ltd, 0.0884, 2, 2 ; short term, 0.0853, 1, 1 ; oil gas, 0.0768, 1, 2",0.2667,1.0,wave energy ; long term ; elsevier ltd ; short term ; oil gas
62,0,0,12,"wind power, 0.0518, 8, 19 ; dc voltage, 0.0480, 4, 11 ; voltage source converter, 0.0352, 4, 4 ; source converter, 0.0349, 6, 6 ; offshore grid, 0.0343, 11, 16",0.5056,1.0,wind power ; dc voltage ; voltage source converter ; source converter ; offshore grid
63,0,0,22,"offshore ac, 0.0579, 11, 22 ; reactive power, 0.0571, 11, 27 ; power flow, 0.0428, 9, 17 ; wind power plants, 0.0405, 10, 19 ; wind power, 0.0368, 13, 33",0.4818,1.0,offshore ac ; reactive power ; power flow ; wind power plants ; wind power
64,0,0,42,"dc grid, 0.0469, 14, 28 ; multi terminal, 0.0352, 0, 0 ; ac grid, 0.0277, 7, 16 ; offshore grid, 0.0220, 27, 42 ; offshore wind power, 0.0190, 13, 15",0.2508,1.0,dc grid ; multi terminal ; ac grid ; offshore grid ; offshore wind power
65,0,0,10,"long term, 0.1035, 1, 2 ; electricity prices, 0.0724, 1, 1 ; short term, 0.0526, 0, 0 ; case study, 0.0436, 5, 5 ; vsc hvdc, 0.0430, 1, 2",0.1333,0.0,long term ; electricity prices ; short term ; case study ; vsc hvdc
66,0,0,24,"hvdc converter, 0.0534, 10, 16 ; hvdc system, 0.0360, 8, 12 ; hvdc transmission, 0.0334, 4, 5 ; offshore hvdc, 0.0307, 5, 8 ; dc voltage, 0.0305, 3, 5",0.2972,1.0,hvdc converter ; hvdc system ; hvdc transmission ; offshore hvdc ; dc voltage
