Source,cluster,count,x,y,TF_IDF_topic_name,percentage_of_documents,percentage_limit,Topic_terms
pro,35,2,7.7444925,-2.804504,"baltic energy island, 0.0156, 17, 51 ; rønne harbor, 0.0150, 17, 41 ; united states, 0.0146, 2, 8 ; green transition, 0.0115, 17, 38 ; claus andersen, 0.0082, 1, 2",0.3154,1.0,baltic energy island ; rønne harbor ; united states ; green transition ; claus andersen
pro,36,1,8.354944,-3.7182972,"baltic sea, 0.0369, 5, 24 ; submarine cable, 0.0319, 4, 14 ; environmental impact, 0.0307, 4, 17 ; bornholm zealand, 0.0277, 5, 10 ; danish environmental protection, 0.0276, 4, 14",0.4963,1.0,baltic sea ; submarine cable ; environmental impact ; bornholm zealand ; danish environmental protection
pro,42,2,7.0810795,-4.436075,"nuclear power, 0.0389, 2, 45 ; says peter, 0.0184, 3, 11 ; general meeting, 0.0171, 3, 6 ; danish energy agency, 0.0160, 5, 24 ; energy islands bornholm, 0.0158, 10, 40",0.1889,0.0,nuclear power ; says peter ; general meeting ; danish energy agency ; energy islands bornholm
pro,46,1,8.279204,-1.9475476,"energy islands bornholm, 0.0125, 26, 85 ; baltic sea, 0.0125, 18, 36 ; gas station, 0.0121, 5, 7 ; electric cars, 0.0110, 2, 10 ; district heating, 0.0107, 10, 22",0.4162,1.0,energy islands bornholm ; baltic sea ; gas station ; electric cars ; district heating
pro,47,3,8.915778,-1.7799537,"offshore wind, 0.0278, 32, 251 ; bornholm offshore wind, 0.0270, 6, 8 ; offshore wind farm, 0.0263, 28, 97 ; open door, 0.0142, 9, 33 ; wind turbine, 0.0136, 28, 110",0.6343,1.0,offshore wind ; bornholm offshore wind ; offshore wind farm ; open door ; wind turbine
pro,54,2,8.150479,-1.2461135,"hydrogen production, 0.0762, 13, 27 ; green hydrogen, 0.0631, 11, 21 ; energy system, 0.0288, 7, 17 ; offshore wind, 0.0217, 15, 33 ; offshore energy, 0.0215, 4, 6",0.5206,1.0,hydrogen production ; green hydrogen ; energy system ; offshore wind ; offshore energy
pro,56,1,7.080488,-0.16977745,"energy system, 0.0671, 16, 37 ; renewable energy, 0.0607, 17, 29 ; elsevier ltd, 0.0406, 13, 13 ; energy transition, 0.0363, 8, 9 ; sustainable energy, 0.0307, 4, 11",0.4929,1.0,energy system ; renewable energy ; elsevier ltd ; energy transition ; sustainable energy
pro,61,3,8.733898,-0.89318734,"north sea, 0.1353, 5, 23 ; million ton, 0.0481, 1, 1 ; construction work, 0.0412, 2, 2 ; united states, 0.0411, 1, 1 ; wave energy, 0.0401, 1, 1",0.4222,1.0,north sea ; million ton ; construction work ; united states ; wave energy
pro,65,2,9.5073185,0.5230856,"kriegers flak, 0.1073, 5, 15 ; reactive power, 0.0512, 2, 5 ; offshore wind power, 0.0303, 3, 4 ; meshed offshore, 0.0262, 2, 2 ; electricity market, 0.0226, 3, 6",0.6533,1.0,kriegers flak ; reactive power ; offshore wind power ; meshed offshore ; electricity market
pro,84,1,9.808911,0.93809664,"offshore wind, 0.1071, 8, 39 ; offshore wind energy, 0.1040, 5, 12 ; north sea, 0.0842, 5, 7 ; oil gas, 0.0482, 3, 3 ; rights reserved, 0.0406, 3, 3",0.6222,1.0,offshore wind ; offshore wind energy ; north sea ; oil gas ; rights reserved
