UMAP1,UMAP2,cluster
6.545297,6.6141553,2
-1.8646456,3.2032351,0
1.7479,2.9004972,-1
0.40410483,3.9220004,0
0.6879697,3.6074207,0
4.0230885,3.2274365,2
-0.867441,3.4970775,0
0.62840635,3.27439,0
-0.46859518,2.0276716,0
0.09052588,4.8225036,0
3.9866154,4.786734,2
0.16001783,3.4934843,0
2.23466,3.248362,0
-1.9212157,3.1901205,0
-1.6517112,2.9507935,0
-0.9064758,3.4807293,0
2.0847054,3.6755798,0
-1.6641387,3.1250238,0
-0.6844513,3.3598163,0
1.2254708,3.9609513,0
-1.3877491,4.092187,0
1.2523112,4.025113,0
1.8952086,3.8257918,0
0.9864063,3.8488421,0
1.3908774,4.344261,0
7.1061726,4.630298,2
1.3651464,4.289006,0
1.3818533,2.0297432,0
5.2148833,2.8389082,2
0.6839614,3.1760771,0
0.382794,4.7636995,0
-1.6494627,3.5607307,0
1.0344058,4.4453583,0
0.57228297,3.9092846,0
0.0533666,3.49752,0
-0.22974837,4.1000295,0
1.2577698,2.1165373,0
-1.1297083,3.7629027,0
-1.265176,4.1452374,0
1.8575181,2.6911197,-1
2.0243018,3.696391,0
2.0830886,3.1866598,-1
0.5127497,2.860914,0
-0.6863596,2.3995297,0
0.6927005,4.121328,0
-1.9433591,3.2012694,0
2.1538312,3.5946167,0
-1.0511701,4.619408,0
0.90557,4.2722588,0
-0.11910812,3.448046,0
1.3713095,4.0829716,0
-1.6806256,3.0426576,0
-0.42025036,4.551242,0
-1.0561486,4.547045,0
-1.1611252,4.2901044,0
1.5996287,4.0339403,0
-1.6474557,2.7182655,0
0.790051,4.659941,0
2.3253896,3.5341346,0
-0.2503686,2.1128142,0
2.0960433,3.640682,0
-0.99492204,4.67879,0
1.7063032,3.8913562,0
0.20745118,4.822084,0
0.8494525,3.0620549,0
0.9054573,4.08702,0
-0.72116363,3.5750902,0
1.561441,4.26521,0
-0.24082601,3.2040048,0
-0.7230165,3.8291833,0
-0.58145666,2.5039005,0
1.9537117,4.2931414,0
-1.8483152,3.0735636,0
0.71910566,1.8815145,0
-0.29813343,4.1612034,0
1.2476228,3.0907447,0
0.91265655,3.6423242,0
1.5841248,4.122932,0
1.6105512,4.1492114,0
-0.714258,3.9368262,0
0.52263355,4.4947023,0
2.177005,3.578397,0
-1.2728925,3.2022157,0
3.4218662,3.8283043,2
-0.35673255,4.0568786,0
-0.9483911,2.6767137,0
0.68705106,2.2921257,0
2.3836107,3.3502772,0
4.496667,3.483368,2
0.17124613,2.304053,0
1.2344255,2.2655106,0
-1.9097174,3.2927213,0
-1.1106744,4.460053,0
-1.3828257,4.0342474,0
-1.7683038,3.6234207,0
0.7583531,4.0133758,0
-0.6255065,2.6272912,0
0.5052232,3.4881964,0
0.6440303,4.6012545,0
0.95058614,2.5134895,0
1.0748146,4.068764,0
-1.7360114,3.104572,0
-0.5269867,3.6093988,0
0.63776505,4.8998117,0
1.0560926,3.5338972,0
1.0184411,4.3613844,0
1.3031062,4.245675,0
4.64724,3.2813945,2
1.0820898,3.9471285,0
4.106967,4.608047,2
1.9340974,3.6647367,0
2.2480738,3.5432525,0
0.3650802,4.6096306,0
-0.42933786,2.7265744,0
0.48976192,4.7986016,0
1.131088,3.4572334,0
0.8789246,3.423519,0
-0.93375456,3.9306045,0
0.6665456,2.2058,0
-0.9507421,2.2375937,0
1.8266085,3.9816177,0
0.11428139,3.6207328,0
0.7697866,3.4067764,0
1.8292737,3.268825,-1
-1.7464334,3.480926,0
4.070781,3.2368748,2
1.0381979,1.9975678,0
-1.3408406,3.4753575,0
2.2791984,3.4180984,0
0.76645726,4.141173,0
0.31054193,3.7563837,0
1.7435126,3.653699,0
-1.374296,2.9920578,0
3.2885647,1.8962201,-1
0.6280921,3.2240703,0
-0.2525104,3.6737368,0
-0.13112421,2.32697,0
-1.1115077,4.2998805,0
4.6828537,5.314118,2
1.5254668,4.5761685,0
-0.47981027,4.0741343,0
1.4505153,4.6869636,0
0.77697146,4.0623646,0
0.9833928,4.1552367,0
-1.3439846,2.9647856,0
-0.99097896,2.8888571,0
1.1486626,3.4793603,0
-0.29183266,2.03192,0
3.4931362,4.041149,2
1.2207892,1.8728282,0
-1.0643749,2.8982036,0
0.7620462,2.2971,0
0.4226963,3.033498,0
0.22667867,4.4772215,0
1.5407549,4.2233896,0
1.183225,1.7811868,0
1.1446743,3.2110255,0
3.5583632,5.4920325,-1
-0.6877217,3.8384588,0
-1.8443934,3.1690316,0
0.6774895,4.4194174,0
-0.144846,4.2948346,0
-0.75133073,4.491718,0
-1.4101567,3.1504757,0
4.9755554,2.9798822,2
-0.433083,2.29797,0
4.0467362,3.2211914,2
3.992956,4.6588244,2
0.93180215,4.2923126,0
1.50775,3.1086152,0
-0.07684116,2.2067292,0
0.693951,2.5206897,0
-1.0374871,4.589449,0
1.3591752,4.6626315,0
1.2758694,3.5924718,0
-1.0705409,4.555106,0
-0.6881133,3.4399135,0
-0.25846097,4.215407,0
-0.29902104,3.672998,0
-0.49506018,4.6825676,0
1.2840033,4.323469,0
-1.5999494,2.9020305,0
-0.32791927,3.9830315,0
1.4817116,3.7436032,0
1.1500753,3.7727542,0
-1.2758092,3.3326416,0
1.5904781,2.7058387,0
-0.582737,3.7929628,0
1.5923367,4.6769347,0
0.19387841,4.600811,0
-0.61184084,4.6230216,0
0.69460785,3.7233133,0
1.5688912,4.150834,0
0.017995387,2.9055252,0
-1.7097045,3.671735,0
1.0474403,2.9338648,0
1.6799972,4.2927747,0
-1.0153221,3.346466,0
1.3604641,4.0515685,0
3.6340563,2.149963,1
1.1422547,3.0327952,0
-0.86194795,2.9928348,0
0.07610661,3.6369696,0
0.8770307,4.514189,0
-1.7869357,3.0911233,0
-1.476781,2.7082589,0
-0.7637658,3.2614725,0
-0.48970228,3.5780401,0
0.9470195,3.4138608,0
1.407774,3.127404,0
0.2771114,3.4119008,0
1.346134,4.7006974,0
3.9373066,2.539754,1
-0.39466166,3.5043752,0
0.7012648,2.1969495,0
-0.64219874,2.5576415,0
0.8135956,1.8599087,0
-0.23966396,2.6090293,0
-1.1673162,4.557784,0
