topic_int,topic_names,labels_layer,Source
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
6,municip council,6: municip council,Reg Media
2,offshor wind,2: offshor wind,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
5,wind farm,5: wind farm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
0,energi island,0: energi island,Reg Media
6,municip council,6: municip council,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
6,municip council,6: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
5,wind farm,5: wind farm,Reg Media
5,wind farm,5: wind farm,Reg Media
5,wind farm,5: wind farm,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
6,municip council,6: municip council,Reg Media
5,wind farm,5: wind farm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
4,wind turbin,4: wind turbin,Reg Media
0,energi island,0: energi island,Reg Media
4,wind turbin,4: wind turbin,Reg Media
6,municip council,6: municip council,Reg Media
4,wind turbin,4: wind turbin,Reg Media
2,offshor wind,2: offshor wind,Reg Media
0,energi island,0: energi island,Reg Media
0,energi island,0: energi island,Reg Media
5,wind farm,5: wind farm,Reg Media
6,municip council,6: municip council,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
4,wind turbin,4: wind turbin,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
4,wind turbin,4: wind turbin,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
3,energiø bornholm,3: energiø bornholm,Reg Media
4,wind turbin,4: wind turbin,Reg Media
