topic_int,topic_names,labels_layer,Source,topic_names_from_bertopic,main_topic_name
10,green transit,10: green transit,Reg Media,"6, center, bornholm, compani, busi","6, center, bornholm, compani, busi"
0,energi island,0: energi island,Reg Media,"22, bornholm, harbor, busi, ptx","4, green, hydrogen, busi, bornholm"
6,wind turbin,6: wind turbin,Reg Media,"5, island, connect, energi, bornholm","10, bornholm, new, energi, green"
0,energi island,0: energi island,Reg Media,"6, center, bornholm, compani, busi","4, green, hydrogen, busi, bornholm"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"10, bornholm, new, energi, green","18, area, energinet, consult, agenc"
0,energi island,0: energi island,Reg Media,"6, center, bornholm, compani, busi","4, green, hydrogen, busi, bornholm"
6,wind turbin,6: wind turbin,Reg Media,"7, bornholm, island, energi, cool","10, bornholm, new, energi, green"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"18, area, energinet, consult, agenc","18, area, energinet, consult, agenc"
8,danish energi,8: danish energi,Reg Media,"7, bornholm, island, energi, cool","0, museum, project, energi, say"
4,municip council,4: municip council,Reg Media,"10, bornholm, new, energi, green","14, say, democraci, social, municip"
6,wind turbin,6: wind turbin,Reg Media,"35, bornholm, municip, cultur, think","10, bornholm, new, energi, green"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"18, area, energinet, consult, agenc","18, area, energinet, consult, agenc"
3,north sea,3: north sea,Reg Media,"7, bornholm, island, energi, cool","5, island, connect, energi, bornholm"
8,danish energi,8: danish energi,Reg Media,"9, bornholm, municip, year, energi","0, museum, project, energi, say"
8,danish energi,8: danish energi,Reg Media,"6, center, bornholm, compani, busi","0, museum, project, energi, say"
10,green transit,10: green transit,Reg Media,"12, bornholm, year, green, energi","6, center, bornholm, compani, busi"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"9, bornholm, municip, year, energi","18, area, energinet, consult, agenc"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"13, hydrogen, co2, fund, compani","18, area, energinet, consult, agenc"
2,energiø bornholm,2: energiø bornholm,Reg Media,"33, energinet, area, plant, architect","33, energinet, area, plant, architect"
2,energiø bornholm,2: energiø bornholm,Reg Media,"7, bornholm, island, energi, cool","33, energinet, area, plant, architect"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"18, area, energinet, consult, agenc","18, area, energinet, consult, agenc"
6,wind turbin,6: wind turbin,Reg Media,"15, bornholm, municip, climat, energi","10, bornholm, new, energi, green"
11,bornholm offshor wind,11: bornholm offshor wind,Reg Media,"13, hydrogen, co2, fund, compani","18, area, energinet, consult, agenc"
