Source,cluster,x,y,topic_name
reg,6,7.182179,7.0629697,offshor wind wind turbin wind farm
reg,6,5.5536795,6.6513314,offshor wind wind turbin wind farm
reg,1,7.2524567,3.7837346,high voltag voltag station bornholm museum
reg,5,6.960391,5.6148252,hydrogen product electrolysi plant green fuel
reg,11,3.786109,5.57086,31 billion 20 billion energiø bornholm
reg,8,4.935346,5.960534,baltic sea baltic energi baltic energi island
reg,5,7.449645,6.002998,hydrogen product electrolysi plant green fuel
reg,8,5.131731,5.8853426,baltic sea baltic energi baltic energi island
reg,7,5.778984,5.6264935,baltic sea north sea possibl establish
reg,8,4.646723,5.852183,baltic sea baltic energi baltic energi island
reg,0,5.474759,5.71114,citizen associ transform station associ energiø
reg,13,3.5160043,2.6574237,social democraci municip council climat plan
reg,7,5.2629585,6.393118,baltic sea north sea possibl establish
reg,13,3.529888,2.5354307,social democraci municip council climat plan
reg,11,3.9106562,5.4869876,31 billion 20 billion energiø bornholm
reg,6,6.3632164,7.1204743,offshor wind wind turbin wind farm
reg,9,5.4141917,1.7574879,jacob trøst citizen meet mayor jacob trøst
reg,9,5.0674415,2.1074739,jacob trøst citizen meet mayor jacob trøst
reg,2,4.2673874,3.7121267,center bornholm busi center labor market
reg,3,5.5898876,4.67134,green transit green island realli good
reg,13,3.4821389,2.8585317,social democraci municip council climat plan
reg,3,5.534284,4.3493886,green transit green island realli good
reg,3,5.84503,4.207092,green transit green island realli good
reg,7,5.3774295,6.2831717,baltic sea north sea possibl establish
reg,6,6.108885,6.7891583,offshor wind wind turbin wind farm
reg,6,7.674195,7.201306,offshor wind wind turbin wind farm
reg,14,3.9633594,1.4076685,social democraci social democrat ann thoma
reg,13,3.6481383,2.06399,social democraci municip council climat plan
reg,4,5.535802,3.5551677,busi park energi park energi island
reg,5,7.6129866,5.7830887,hydrogen product electrolysi plant green fuel
reg,5,7.5560017,5.8840747,hydrogen product electrolysi plant green fuel
reg,12,5.254522,1.2713436,cultur ident henrik espersen energiø bornholm
reg,12,7.489712,2.2264402,cultur ident henrik espersen energiø bornholm
reg,6,7.1482563,7.11595,offshor wind wind turbin wind farm
reg,13,3.650619,2.3894973,social democraci municip council climat plan
reg,6,6.52854,7.1321716,offshor wind wind turbin wind farm
reg,5,7.5271454,5.841767,hydrogen product electrolysi plant green fuel
reg,5,7.20129,6.093636,hydrogen product electrolysi plant green fuel
reg,5,7.5176463,5.859004,hydrogen product electrolysi plant green fuel
reg,14,4.156721,1.4224143,social democraci social democrat ann thoma
reg,13,3.66663,2.4836366,social democraci municip council climat plan
reg,14,4.181861,1.4442086,social democraci social democrat ann thoma
reg,5,7.4864955,5.694115,hydrogen product electrolysi plant green fuel
reg,6,7.3662696,6.8519273,offshor wind wind turbin wind farm
reg,1,7.5669127,2.6697073,high voltag voltag station bornholm museum
reg,1,7.7145314,3.4364555,high voltag voltag station bornholm museum
reg,1,7.023699,3.6159406,high voltag voltag station bornholm museum
reg,12,5.1148777,1.263716,cultur ident henrik espersen energiø bornholm
reg,6,6.6944,6.989312,offshor wind wind turbin wind farm
reg,4,5.7068267,2.912006,busi park energi park energi island
reg,2,5.3104515,4.138144,center bornholm busi center labor market
reg,5,7.5561433,5.8411436,hydrogen product electrolysi plant green fuel
reg,3,5.5850983,3.9156291,green transit green island realli good
reg,0,5.076073,2.5802836,citizen associ transform station associ energiø
reg,1,7.0165677,3.6793935,high voltag voltag station bornholm museum
reg,6,7.326967,7.2594843,offshor wind wind turbin wind farm
reg,6,6.6444273,7.16755,offshor wind wind turbin wind farm
reg,6,7.4163694,7.378916,offshor wind wind turbin wind farm
reg,6,7.467402,6.801663,offshor wind wind turbin wind farm
reg,0,5.175896,5.371228,citizen associ transform station associ energiø
reg,3,5.987003,4.280374,green transit green island realli good
reg,8,5.2290874,5.743799,baltic sea baltic energi baltic energi island
reg,12,5.3584323,1.3528568,cultur ident henrik espersen energiø bornholm
reg,6,6.921143,6.9791527,offshor wind wind turbin wind farm
reg,12,5.329145,1.4051102,cultur ident henrik espersen energiø bornholm
reg,6,7.134498,6.8429384,offshor wind wind turbin wind farm
reg,3,5.6685686,3.9041862,green transit green island realli good
reg,13,3.481016,2.8497858,social democraci municip council climat plan
reg,12,5.117374,1.3002083,cultur ident henrik espersen energiø bornholm
reg,2,4.258571,3.6460197,center bornholm busi center labor market
reg,12,5.116355,1.3040099,cultur ident henrik espersen energiø bornholm
reg,9,5.131573,2.5990164,jacob trøst citizen meet mayor jacob trøst
reg,9,5.1403494,2.1043403,jacob trøst citizen meet mayor jacob trøst
reg,11,3.9058242,5.458234,31 billion 20 billion energiø bornholm
reg,8,4.839043,6.03315,baltic sea baltic energi baltic energi island
reg,11,3.9673326,5.6313996,31 billion 20 billion energiø bornholm
reg,7,5.220706,6.3135552,baltic sea north sea possibl establish
reg,6,7.276673,7.279059,offshor wind wind turbin wind farm
reg,6,7.271813,7.33611,offshor wind wind turbin wind farm
reg,6,6.9754105,7.2152395,offshor wind wind turbin wind farm
reg,6,7.334807,7.3808355,offshor wind wind turbin wind farm
reg,6,6.9985623,7.194514,offshor wind wind turbin wind farm
reg,6,7.7048187,7.0946574,offshor wind wind turbin wind farm
reg,7,5.3971076,6.139485,baltic sea north sea possibl establish
reg,6,7.7316837,7.139129,offshor wind wind turbin wind farm
reg,9,5.205668,2.1669755,jacob trøst citizen meet mayor jacob trøst
reg,0,5.113329,5.5268717,citizen associ transform station associ energiø
reg,2,5.040503,3.8996239,center bornholm busi center labor market
reg,4,5.8953543,2.9961197,busi park energi park energi island
reg,6,6.5934825,7.059854,offshor wind wind turbin wind farm
reg,12,5.472428,1.4256613,cultur ident henrik espersen energiø bornholm
reg,13,3.7071002,2.442523,social democraci municip council climat plan
reg,7,5.5210476,6.0151515,baltic sea north sea possibl establish
reg,1,7.3759885,3.3552547,high voltag voltag station bornholm museum
reg,0,5.8545537,1.7330832,citizen associ transform station associ energiø
reg,1,7.4191747,3.5081828,high voltag voltag station bornholm museum
reg,1,7.40133,3.5358543,high voltag voltag station bornholm museum
reg,12,5.1573834,1.485416,cultur ident henrik espersen energiø bornholm
reg,7,5.1504326,6.466116,baltic sea north sea possibl establish
reg,12,5.005976,1.4473126,cultur ident henrik espersen energiø bornholm
reg,12,5.117668,1.4447839,cultur ident henrik espersen energiø bornholm
reg,12,5.4297185,1.6043197,cultur ident henrik espersen energiø bornholm
reg,1,7.978861,3.253774,high voltag voltag station bornholm museum
reg,14,4.1099224,1.5196046,social democraci social democrat ann thoma
reg,13,3.5418725,2.7293196,social democraci municip council climat plan
reg,4,5.5588026,2.769076,busi park energi park energi island
reg,12,5.481962,1.5246981,cultur ident henrik espersen energiø bornholm
reg,10,7.0626583,5.044522,electr grid bornholm electr price zone
reg,13,3.514755,2.189168,social democraci municip council climat plan
reg,8,5.3527913,5.9559765,baltic sea baltic energi baltic energi island
reg,6,5.8679914,6.4272647,offshor wind wind turbin wind farm
reg,1,7.4382834,3.1350403,high voltag voltag station bornholm museum
reg,14,4.233355,1.5655017,social democraci social democrat ann thoma
reg,14,4.025063,1.503529,social democraci social democrat ann thoma
reg,2,4.6967874,3.7232401,center bornholm busi center labor market
reg,6,7.3999276,7.1575727,offshor wind wind turbin wind farm
reg,2,4.753752,3.7949338,center bornholm busi center labor market
