Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
sci,2,5.246343,2.2423294,"north sea, 0.0083 | baltic seas, 0.0072 | wind farms, 0.0068 | north baltic, 0.0066 | north baltic seas, 0.0064",energy grid offshore wind north
sci,0,3.858589,6.7395115,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,0,4.7383084,5.894692,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,0,4.9805617,6.729063,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,0,3.5504053,6.248214,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,3,4.534539,2.1569095,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,3,4.9711504,1.9342341,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,5,7.736637,3.8736951,"energy demand, 0.0223 | energy storage, 0.0143 | renewable energy, 0.0139 | energy consumption, 0.0132 | carbon emissions, 0.0124",energy system power renewable island
sci,0,3.5673902,5.661506,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,1,6.486286,4.410951,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,10,7.1154776,4.608625,"numerical simulation, 0.0276 | energy source, 0.0261 | energy system, 0.0233 | electrical power, 0.0228 | hydrogen energy, 0.0208",energy system power operation based
sci,2,5.36227,2.2524385,"north sea, 0.0083 | baltic seas, 0.0072 | wind farms, 0.0068 | north baltic, 0.0066 | north baltic seas, 0.0064",energy grid offshore wind north
sci,9,6.9667306,3.0233178,"renewable energy, 0.0446 | sustainable energy, 0.0289 | model developed, 0.0202 | energy system, 0.0185 | 2017 ieee, 0.0180",energy island renewable islands system
sci,11,6.6629786,1.9399077,"renewable energy, 0.0351 | renewable energy island, 0.0284 | island samsø, 0.0219 | transmission grid, 0.0192 | science technology, 0.0163",energy island harmonic grid transmission
sci,5,7.9510875,4.2185483,"energy demand, 0.0223 | energy storage, 0.0143 | renewable energy, 0.0139 | energy consumption, 0.0132 | carbon emissions, 0.0124",energy system power renewable island
sci,11,6.5251937,1.7805202,"renewable energy, 0.0351 | renewable energy island, 0.0284 | island samsø, 0.0219 | transmission grid, 0.0192 | science technology, 0.0163",energy island harmonic grid transmission
sci,7,8.424897,3.6955583,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,7,8.472018,3.7569985,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,10,7.497691,4.760659,"numerical simulation, 0.0276 | energy source, 0.0261 | energy system, 0.0233 | electrical power, 0.0228 | hydrogen energy, 0.0208",energy system power operation based
sci,8,4.126656,3.8506196,"north sea, 0.0198 | offshore wind, 0.0195 | legal framework, 0.0185 | offshore grid, 0.0143 | offshore wind energy, 0.0133",offshore wind grid energy paper
sci,10,7.7308254,4.690185,"numerical simulation, 0.0276 | energy source, 0.0261 | energy system, 0.0233 | electrical power, 0.0228 | hydrogen energy, 0.0208",energy system power operation based
sci,1,6.748176,3.9536378,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,1,6.355049,4.0757546,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,0,5.158012,6.0281854,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,3,4.3491216,1.6264826,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,6,4.0140166,5.0073857,"offshore wind, 0.0159 | black start, 0.0157 | offshore power, 0.0137 | future offshore, 0.0128 | floating wind, 0.0092",offshore wind system grid transmission
sci,7,8.55397,3.5427468,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,1,5.7733197,3.9762912,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,1,6.2757454,4.0505924,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,2,4.9684863,2.1649678,"north sea, 0.0083 | baltic seas, 0.0072 | wind farms, 0.0068 | north baltic, 0.0066 | north baltic seas, 0.0064",energy grid offshore wind north
sci,6,4.059583,5.2035985,"offshore wind, 0.0159 | black start, 0.0157 | offshore power, 0.0137 | future offshore, 0.0128 | floating wind, 0.0092",offshore wind system grid transmission
sci,11,6.6524334,2.0876276,"renewable energy, 0.0351 | renewable energy island, 0.0284 | island samsø, 0.0219 | transmission grid, 0.0192 | science technology, 0.0163",energy island harmonic grid transmission
sci,3,5.2895827,1.4427637,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,0,4.145455,6.848284,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,7,8.455221,3.3971314,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,10,6.728627,4.825968,"numerical simulation, 0.0276 | energy source, 0.0261 | energy system, 0.0233 | electrical power, 0.0228 | hydrogen energy, 0.0208",energy system power operation based
sci,4,6.4320636,6.1090746,"energy islands, 0.0688 | rights reserved, 0.0523 | energy island, 0.0515 | offshore grid, 0.0444 | sea surface, 0.0440",wave grid offshore water kelvin
sci,7,8.433428,3.6667287,"hydrogen production, 0.0434 | green hydrogen, 0.0349 | green hydrogen production, 0.0173 | offshore energy, 0.0165 | production costs, 0.0157",energy hydrogen offshore wind power
sci,0,3.9704096,6.520636,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,2,5.6665897,1.5539694,"north sea, 0.0083 | baltic seas, 0.0072 | wind farms, 0.0068 | north baltic, 0.0066 | north baltic seas, 0.0064",energy grid offshore wind north
sci,2,5.7589993,2.5983098,"north sea, 0.0083 | baltic seas, 0.0072 | wind farms, 0.0068 | north baltic, 0.0066 | north baltic seas, 0.0064",energy grid offshore wind north
sci,1,5.735779,5.4718904,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,13,4.616622,2.9122517,"wind energy, 0.0291 | wind energy conversion, 0.0272 | energy conversion, 0.0221 | development offshore, 0.0197 | wind farms, 0.0184",offshore power wind grid energy
sci,0,5.014636,5.8739934,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,11,6.5925837,2.7244575,"renewable energy, 0.0351 | renewable energy island, 0.0284 | island samsø, 0.0219 | transmission grid, 0.0192 | science technology, 0.0163",energy island harmonic grid transmission
sci,5,7.187218,4.2051787,"energy demand, 0.0223 | energy storage, 0.0143 | renewable energy, 0.0139 | energy consumption, 0.0132 | carbon emissions, 0.0124",energy system power renewable island
sci,1,6.316387,4.489796,"energy island, 0.0337 | energy islands, 0.0211 | smart grid, 0.0162 | energy systems, 0.0151 | north sea, 0.0141",energy power systems system grid
sci,5,7.1737046,4.354532,"energy demand, 0.0223 | energy storage, 0.0143 | renewable energy, 0.0139 | energy consumption, 0.0132 | carbon emissions, 0.0124",energy system power renewable island
sci,9,7.277731,3.1715276,"renewable energy, 0.0446 | sustainable energy, 0.0289 | model developed, 0.0202 | energy system, 0.0185 | 2017 ieee, 0.0180",energy island renewable islands system
sci,0,3.3809876,5.771065,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,0,3.629503,6.5791683,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,2,5.860758,2.9077024,"north sea, 0.0083 | baltic seas, 0.0072 | wind farms, 0.0068 | north baltic, 0.0066 | north baltic seas, 0.0064",energy grid offshore wind north
sci,6,4.344353,4.5419545,"offshore wind, 0.0159 | black start, 0.0157 | offshore power, 0.0137 | future offshore, 0.0128 | floating wind, 0.0092",offshore wind system grid transmission
sci,12,6.6468797,5.264965,"hainan island, 0.0445 | energy production, 0.0377 | 2011 ieee, 0.0354 | power plants, 0.0335 | energy island, 0.0301",energy wind power island offshore
sci,11,6.554684,1.8263944,"renewable energy, 0.0351 | renewable energy island, 0.0284 | island samsø, 0.0219 | transmission grid, 0.0192 | science technology, 0.0163",energy island harmonic grid transmission
sci,0,4.4452896,6.361367,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,3,6.3493004,3.4206378,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,3,6.1847825,3.357869,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,0,4.8605103,5.563874,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,3,4.341305,1.7782761,"energy security, 0.0220 | offshore wind, 0.0148 | north sea, 0.0075 | baltic sea, 0.0065 | offshore energy, 0.0064",offshore energy wind grid power
sci,2,5.8328514,2.2482433,"north sea, 0.0083 | baltic seas, 0.0072 | wind farms, 0.0068 | north baltic, 0.0066 | north baltic seas, 0.0064",energy grid offshore wind north
sci,11,6.7149844,2.1299777,"renewable energy, 0.0351 | renewable energy island, 0.0284 | island samsø, 0.0219 | transmission grid, 0.0192 | science technology, 0.0163",energy island harmonic grid transmission
sci,0,5.2818084,5.6690564,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,0,3.8370118,6.782715,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,5,7.7106924,4.446025,"energy demand, 0.0223 | energy storage, 0.0143 | renewable energy, 0.0139 | energy consumption, 0.0132 | carbon emissions, 0.0124",energy system power renewable island
sci,9,7.6322107,3.3029351,"renewable energy, 0.0446 | sustainable energy, 0.0289 | model developed, 0.0202 | energy system, 0.0185 | 2017 ieee, 0.0180",energy island renewable islands system
sci,4,6.645398,6.461052,"energy islands, 0.0688 | rights reserved, 0.0523 | energy island, 0.0515 | offshore grid, 0.0444 | sea surface, 0.0440",wave grid offshore water kelvin
sci,0,3.9469101,5.6960163,"vsc hvdc, 0.0105 | ac grid, 0.0078 | hvdc system, 0.0066 | reactive power, 0.0064 | offshore ac, 0.0061",power control grid offshore voltage
sci,11,6.6228685,2.0146146,"renewable energy, 0.0351 | renewable energy island, 0.0284 | island samsø, 0.0219 | transmission grid, 0.0192 | science technology, 0.0163",energy island harmonic grid transmission
sci,2,4.9669137,3.6229205,"north sea, 0.0083 | baltic seas, 0.0072 | wind farms, 0.0068 | north baltic, 0.0066 | north baltic seas, 0.0064",energy grid offshore wind north
sci,11,6.5978365,2.0222144,"renewable energy, 0.0351 | renewable energy island, 0.0284 | island samsø, 0.0219 | transmission grid, 0.0192 | science technology, 0.0163",energy island harmonic grid transmission
