Source,cluster,x,y,TF_IDF_topic_name,BERTopic_topic_name
pro,0,7.6890745,2.2140126,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,0,7.6822762,2.266364,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,0,7.853597,2.5046532,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,1,8.743252,4.4239902,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,0,6.1851068,2.7220886,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,2,5.8117185,4.6096597,"data center, 0.0147 | million tonnes, 0.0134 | million ton, 0.0095 | natural gas, 0.0080 | philip fosbøl, 0.0080",energy co2 climate green dkk
pro,3,5.758265,3.408201,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,3,5.7504315,3.918691,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,3,5.7115245,3.598812,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,3,6.0571127,3.6417177,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,3,5.8634105,3.889262,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,5,6.739118,2.512877,"wave power, 0.0182 | million kroner, 0.0097 | energy islands north, 0.0088 | islands north, 0.0086 | islands north sea, 0.0086",energy island islands wind electricity
pro,1,8.948121,5.631937,"ørsted atp, 0.0102 | 000 tonnes, 0.0091 | early 2030s, 0.0083 | north sea, 0.0077 | morten hesselager, 0.0074",energy wind sea offshore island
pro,3,6.623718,3.6374714,"offshore wind, 0.0114 | høje taastrup, 0.0069 | 70 percent, 0.0064 | green power, 0.0061 | green sector, 0.0057",energy wind offshore 2030 electricity
pro,6,7.0593305,4.0136495,"light pollution, 0.0361 | kjeld pedersen, 0.0213 | solar cell, 0.0163 | lars holmegaard, 0.0130 | turbines solar cells, 0.0124",energy green also says wind
pro,6,8.299561,5.5502954,"light pollution, 0.0361 | kjeld pedersen, 0.0213 | solar cell, 0.0163 | lars holmegaard, 0.0130 | turbines solar cells, 0.0124",energy green also says wind
pro,0,7.2050934,2.849156,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
pro,6,8.459604,3.9814212,"light pollution, 0.0361 | kjeld pedersen, 0.0213 | solar cell, 0.0163 | lars holmegaard, 0.0130 | turbines solar cells, 0.0124",energy green also says wind
pro,0,7.165629,2.822199,"nuclear power, 0.0170 | christian bueger, 0.0084 | bent lauritzen, 0.0081 | open door, 0.0080 | marine mammals, 0.0075",energy wind says also offshore
